company,address,city,state,zip,phone,email,trades,source_file,segment
"Tiffany Electric, Inc.",5 Eastmans Road,Parsippany,NJ,07054,,joyce@tiffanyelectric.com,"7,5",njdot_prequalified,gc_excavation
"Tilcon New York, Inc.",9 Entin Road,Parsippany,NJ,07054,,dcmoore@tilconny.com,"5,9",njdot_prequalified,utility
Top Line Construction Corp.,22 Fifth Street,Somerville,NJ,08876,,scastela@toplineconstruction.com,"25,3A,8C,22",njdot_prequalified,paving_asphalt
"Total Center Maintenance, Inc.",511 Neck Road,Burlington,NJ,08016,,joe@tcmsweeping.com,"1,24,9V",njdot_prequalified,utility
Tower Maintenance Corp.,"1 Plaza Road, Suite 102",Greenvale,NY,11548,,info@towermaint.com,1,njdot_prequalified,gc_excavation
"Traffic Lines, Inc.",5100 Asbury Road,Farmingdale,NJ,07727,,trafficlines@gmail.com,"35,24",njdot_prequalified,gc_excavation
"Trap Rock Industries, Llc",P.O. Box 419,Kingston,NJ,08528,,mike.crowley@traprockind.com,5,njdot_prequalified,gc_excavation
"Traylor Bros., Inc. Evansville IN 47715",835 North Congress Avenue,,,,,dbush@traylor.com,5,njdot_prequalified,gc_excavation
"Trevcon Construction Co., Inc.",30 Church Street,Liberty Corner,NJ,07938,,dorothy@trevcon.com,"11,22,10",njdot_prequalified,gc_excavation
"Tricon Enterprises, Inc.",322 Beers Street,Keyport,NJ,07735,,info@gotricon.com,"24,10",njdot_prequalified,gc_excavation
"Turf Construction Co., Inc.",3192 North West Boulevard,Vineland,NJ,08360,,turf@turfcon.com,6,njdot_prequalified,gc_excavation
Tutor Perini Corporation,1000 Main Street,New Rochelle,NY,10801,,hcheung@perini.com,"41,42,5",njdot_prequalified,gc_excavation
"Two Brothers Contracting, Inc.",11 Vreeland Avenue,Totowa,NJ,07512,,sal@tbcdemo.com,"11,10",njdot_prequalified,gc_excavation
"Union Paving & Construction Co., Inc.",1140 Globe Avenue,Mountainside,NJ,07092,,swoodfield@unionpaving.com,5,njdot_prequalified,gc_excavation
"V. A. Spatz & Sons Construction, Inc.",91 Lone Pine Drive,Berkley Heights,NJ,07922,,vaspatz@verizon.net,"3A,8C,22",njdot_prequalified,paving_asphalt
"Vollers Excavating & Construction, Inc.",P.O. Box 5297,North Branch,NJ,08876,,jfitzsimmons@vollers.cc,"28,11,10,3,22,8,5",njdot_prequalified,paving_asphalt
"Wagman Heavy Civil, Inc.",3290 North Susquehanna Trail,York,PA,17406,,medevine@wagman.com,5,njdot_prequalified,gc_excavation
"Walsh Construction Company Ii, Llc","150 Clove Road, 11Th Floor",Little Falls,NJ,07424,,kcampanile@walshgroup.com,"41,25,5",njdot_prequalified,paving_asphalt
"Walters Marine Construction, Inc.",414 Woodbine-Oceanview Road,Ocean View,NJ,08230,,waltersmarine@aol.com,5,njdot_prequalified,gc_excavation
"Waters & Bugbee, Inc.",75 South Gold Drive,Hamilton,NJ,08691,,cwaters@watersandbugbee.com,"8,3,22",njdot_prequalified,paving_asphalt
"Weeks Marine, Inc.",4 Commerce Drive,Cranford,NJ,07016,,cclee@weeksmarine.com,"4,10",njdot_prequalified,gc_excavation
"West Bay Construction, Inc.",133 Pleasant Avenue,Absecon,NJ,08201,,info@westbayinc.net,"1,24,8,4",njdot_prequalified,gc_excavation
"Winzinger, Inc.",1704 Marne Highway,Hainesport,NJ,08036,,joann@winzinger.com,5,njdot_prequalified,gc_excavation
"Yonkers Contracting Co., Inc.",969 Midland Avenue,Yonkers,NY,10704,,pconley@yonkerscontractingco.com,5,njdot_prequalified,gc_excavation
"Zone Striping, Inc.",718 Jacob Harris Lane,Glassboro,NJ,08028,,p.mitchell@zonestriping.com,35,njdot_prequalified,gc_excavation
"Zsenak Electric Co., Inc.",1465 Klockner Road,Hamilton,NJ,08619,,f.zsenak@zsenakelectric.com,"41,7",njdot_prequalified,gc_excavation
